Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
167807,1126846036,G,48.2754,-12.1914,-39.7576,24.5195,41.5849,0.5599,-1.8683,-1,G,46.1309,14.9453,42.4808,10.0035,45.0331,0.2203,1.2325,1,87.7822
167807,1125973210,G,99.4412,-16.7248,35.7428,91.2758,39.4622,1.5755,2.0084,-1,G,63.1775,-1.6522,-49.487,39.2389,49.5146,0.7268,-1.6042,1,94.2557
167807,1126808455,G,48.5018,-21.8962,-25.4238,-35.0229,33.5531,-0.912,-2.2818,-1,G,41.6042,22.1914,23.2286,26.4362,32.1252,0.7505,0.8082,1,89.6686
167807,1127445767,G,53.859,-19.8331,-30.9284,-39.381,36.7413,-0.9313,-2.141,-1,G,45.7758,25.8552,37.4148,-5.2009,45.4792,-0.1141,0.9661,1,88.6634
167807,1127425261,G,52.2352,-1.0698,-26.0967,-45.2362,26.1187,-1.3169,-1.6118,1,G,41.3165,3.6563,31.4611,26.5306,31.6728,0.7618,1.4551,-1,91.4688
167807,1127375153,G,59.1829,-46.9625,-25.394,25.5396,53.3885,0.4618,-2.6459,1,G,37.9011,32.4862,19.499,0.9576,37.8888,0.0253,0.5406,-1,92.0809
167807,1127728583,G,109.042,-17.1356,33.3988,102.377,37.5381,1.7285,2.0448,1,G,50.3372,7.3926,-39.6883,30.0667,40.371,0.689,-1.3866,-1,87.8973
167807,1128293481,G,85.027,-18.209,42.2735,71.491,46.0285,1.2239,1.9775,1,G,52.6791,20.5431,-36.2461,32.2379,41.6629,0.7121,-1.0552,-1,90.3412
167807,1128467195,G,174.033,3.5185,45.205,-168.023,45.3417,-2.0208,1.4931,-1,G,112.019,-5.5982,-45.1926,-102.345,45.538,-1.5491,-1.694,1,93.3953
167807,1128557859,G,54.2028,-37.772,-19.3156,-33.736,42.4242,-0.7289,-2.6689,1,G,69.1785,41.1165,30.272,-46.6766,51.0584,-0.8194,0.6346,-1,92.8738
167807,1128737627,G,43.9518,-4.6825,-43.6936,0.8324,43.9438,0.0189,-1.6776,-1,G,48.5834,3.4213,46.09,-14.9784,46.2168,-0.3187,1.4967,1,91.4075
167807,1128659147,G,81.1987,11.8762,-43.9756,-67.2185,45.551,-1.1812,-1.307,-1,G,65.8062,54.4366,24.0941,-28.046,59.5304,-0.4552,0.4167,1,87.9913
167807,1128625982,G,88.2176,-15.0975,54.5402,67.6739,56.5913,1.0133,1.8409,1,G,55.0822,52.4615,16.0918,4.784,54.874,0.0871,0.2976,-1,94.3384
167807,1129234415,G,60.1507,35.6092,13.993,-46.4141,38.2599,-1.0244,0.3744,-1,G,42.8902,3.0924,-31.9753,28.4178,32.1245,0.7974,-1.4744,1,92.0455
167807,1129208953,G,102.808,0.2742,-49.3087,-90.2115,49.3094,-1.3647,-1.5652,-1,G,59.7828,-0.377,41.1907,-43.3262,41.1924,-0.9175,1.5799,1,92.3993
167807,1128355844,G,65.341,-53.9255,-0.3482,36.8965,53.9266,0.6397,-3.1351,1,G,40.8471,36.0477,11.5177,15.3747,37.843,0.3959,0.3093,-1,89.9958
167807,1129524997,G,75.4911,18.3632,31.6632,66.0237,36.6028,1.3523,1.0453,-1,G,97.0866,-8.973,-53.4602,80.5437,54.208,1.1869,-1.7371,1,87.9646
167807,1129474779,G,53.5507,-23.6676,-46.8132,10.7722,52.456,0.2039,-2.0389,-1,G,47.3526,-10.0675,31.6325,-33.7682,33.1959,-0.8935,1.8789,1,91.0174
167807,1129956254,G,85.2771,6.4694,42.5159,-73.6391,43.0053,-1.3071,1.4198,1,G,65.6414,-37.679,-33.519,-42.0185,50.4304,-0.7584,-2.4146,-1,91.3495
167807,1130140670,G,130.001,27.4948,-21.4229,-125.242,34.8554,-1.991,-0.6619,-1,G,65.1028,-27.7108,34.8217,-47.5177,44.5021,-0.9285,2.243,1,89.6679
167807,1129730427,G,38.046,-36.0218,2.8775,-11.9011,36.1366,-0.3237,3.0619,-1,G,52.5846,50.547,4.7162,13.7069,50.7666,0.2668,0.093,1,89.1179
167807,1130285330,G,45.4202,-35.446,27.9369,-5.1082,45.1319,-0.1129,2.4741,1,G,53.27,39.8996,-21.6332,-27.8875,45.387,-0.5812,-0.4968,-1,92.6902
167807,1129307266,G,90.9209,-27.3969,-30.642,81.0992,41.1038,1.4315,-2.3003,-1,G,79.0185,37.6436,35.4102,59.7746,51.681,0.9879,0.7548,1,94.3731
167807,1129496017,G,81.2424,-46.0182,20.7823,63.6454,50.4934,1.0541,2.7174,1,G,63.5091,45.4418,13.2725,42.3353,47.3404,0.8046,0.2842,-1,92.5258
167807,1130201944,G,120.543,16.2561,-50.7519,-108.124,53.2918,-1.4565,-1.2608,1,G,25.8942,15.8419,20.4798,-0.3287,25.8919,-0.0127,0.9124,-1,87.9512
167807,1140883371,G,55.5731,37.6199,-6.1955,40.4316,38.1266,0.9235,-0.1632,1,G,42.5828,-42.0246,6.1257,-3.1128,42.4687,-0.0732,2.9968,-1,90.6778
167807,1140861717,G,42.3002,-27.6895,-30.6039,-9.2732,41.2711,-0.2228,-2.3062,1,G,105.004,69.4113,-68.1925,-39.4675,97.3044,-0.3952,-0.7765,-1,88.4389
167807,1140877312,G,69.0035,-18.7566,35.9855,-55.8096,40.5804,-1.1235,2.0513,1,G,40.6406,21.7273,-34.3448,-0.0183,40.6404,-0.0004,-1.0067,-1,94.3057
167807,1140933539,G,49.3621,9.1565,-36.9105,-31.4703,38.0293,-0.754,-1.3276,-1,G,59.7507,-19.14,50.8372,-24.8873,54.3209,-0.4435,1.9309,1,91.8467
167807,1140758541,G,101.301,32.5937,-0.582,-95.9125,32.5988,-1.8,-0.0179,-1,G,32.4895,-32.3693,-0.3701,-2.7655,32.3714,-0.0853,-3.1302,1,90.3416
167807,1140543031,G,85.0771,12.2529,-40.2016,-73.9716,42.0274,-1.3309,-1.275,1,G,54.13,-14.2443,42.7047,-30.0575,45.0177,-0.626,1.8927,-1,92.4463
167807,1142168280,G,75.0843,35.2721,-22.2587,62.4345,41.7082,1.1931,-0.5629,-1,G,38.1967,-31.1405,20.1446,9.1347,37.0882,0.2439,2.5674,1,87.6864
